action,world_size,number_of_steps,number_of_steps_between_file_dumps,mpi_size,omp_get_max_threads,total_time,t_io,t_io_accumulator,t_io_accumulator_average
e2,10000,100,1,1,1,239.204716,5.166635,0.000000,0.000000
e2,10000,100,1,2,1,249.896274,12.315368,2.808852,2.808852
e2,10000,100,1,3,1,276.108917,39.081461,3.940179,1.970089
e2,10000,100,1,4,1,245.151098,11.628036,4.813093,1.604364
e2,10000,100,1,5,1,249.735895,11.886127,6.241083,1.560271
e2,10000,100,1,6,1,250.390672,12.499243,7.990592,1.598118
e2,10000,100,1,7,1,250.948796,12.579376,8.641680,1.440280
e2,10000,100,1,8,1,251.823954,12.511343,9.891147,1.413021
e2,10000,100,1,9,1,250.146373,12.329629,9.743082,1.217885
e2,10000,100,1,10,1,239.981014,13.010316,11.379299,1.264367
e2,10000,100,1,11,1,250.178890,12.580807,11.962582,1.196258
e2,10000,100,1,12,1,251.033954,13.420998,13.609553,1.237232
e2,10000,100,1,13,1,251.379598,13.831200,13.458269,1.121522
e2,10000,100,1,14,1,250.876672,13.246615,14.235049,1.095004
e2,10000,100,1,15,1,243.006638,16.182666,16.271592,1.162257
e2,10000,100,1,16,1,262.100933,24.344550,17.561698,1.170780
e2,10000,100,1,17,1,249.240836,22.199613,20.034853,1.252178
e2,10000,100,1,18,1,273.634946,20.600558,25.408277,1.494605
e2,10000,100,1,19,1,258.899544,21.015205,21.858478,1.214360
e2,10000,100,1,20,1,262.623978,24.642986,21.984181,1.157062
e2,10000,100,1,21,1,248.649482,21.754261,26.713908,1.335695
e2,10000,100,1,22,1,248.430254,21.554950,31.512452,1.500593
e2,10000,100,1,23,1,262.361564,24.783252,29.539131,1.342688
e2,10000,100,1,24,1,249.804019,22.891610,20.374628,0.885853
e2,10000,100,1,25,1,246.928999,19.476461,27.545925,1.147747
e2,10000,100,1,26,1,249.764017,22.709037,19.424485,0.776979
e2,10000,100,1,27,1,261.334502,22.562190,22.068991,0.848807
e2,10000,100,1,28,1,248.995102,22.250123,43.738650,1.619950
