action,world_size,number_of_steps,number_of_steps_between_file_dumps,mpi_size,omp_get_max_threads,total_time,t_io,t_io_accumulator,t_io_accumulator_average
e0,10000,100,100000,64,1,267.507857,0.174356,3.629208,0.057606
e0,10000,100,100000,63,1,285.257516,0.265328,8.402303,0.135521
e0,10000,100,100000,62,1,286.246579,1.371524,75.712309,1.241185
e0,10000,100,100000,61,1,282.675627,0.264415,8.327458,0.138791
e0,10000,100,100000,60,1,281.771962,0.286733,9.124516,0.154653
e0,10000,100,100000,59,1,280.173203,0.278000,8.674628,0.149563
e0,10000,100,100000,58,1,278.435442,0.274053,8.782226,0.154074
e0,10000,100,100000,57,1,279.645078,0.352920,8.670843,0.154836
e0,10000,100,100000,56,1,276.808969,0.261657,7.193455,0.130790
e0,10000,100,100000,55,1,276.950737,1.276894,58.693839,1.086923
e0,10000,100,100000,54,1,275.115145,0.396770,12.942713,0.244202
e0,10000,100,100000,53,1,273.721898,0.240990,6.016593,0.115704
e0,10000,100,100000,52,1,271.773315,0.253612,6.328581,0.124090
e0,10000,100,100000,51,1,270.196599,0.346162,9.274671,0.185493
e0,10000,100,100000,50,1,268.195634,0.296058,8.009810,0.163466
e0,10000,100,100000,49,1,266.220203,0.278455,6.925260,0.144276
e0,10000,100,100000,48,1,265.324304,0.290421,7.535855,0.160337
e0,10000,100,100000,47,1,263.128209,0.290645,6.967642,0.151470
e0,10000,100,100000,46,1,261.684663,0.243881,5.491746,0.122039
e0,10000,100,100000,45,1,259.767526,0.259788,5.949099,0.135207
e0,10000,100,100000,44,1,258.489188,0.282177,6.134979,0.142674
e0,10000,100,100000,43,1,256.385443,0.231311,4.760760,0.113351
e0,10000,100,100000,42,1,255.212966,0.268033,5.085363,0.124033
e0,10000,100,100000,41,1,253.058972,0.273473,5.071425,0.126786
e0,10000,100,100000,40,1,251.312166,0.231101,4.436014,0.113744
e0,10000,100,100000,39,1,249.462524,0.273204,5.739518,0.151040
