action,world_size,number_of_steps,number_of_steps_between_file_dumps,mpi_size,omp_get_max_threads,total_time,t_io,t_io_accumulator,t_io_accumulator_average
e0,10000,100,100000,40,1,242.086011,0.223906,4.143815,0.106252
e0,10000,100,100000,39,1,252.606278,0.234618,4.688964,0.123394
e0,10000,100,100000,38,1,252.791016,0.231805,4.199806,0.113508
e0,10000,100,100000,37,1,252.114632,0.285851,3.778557,0.104960
e0,10000,100,100000,36,1,249.382625,0.242067,2.995178,0.085577
e0,10000,100,100000,35,1,249.158533,0.245888,3.277169,0.096387
e0,10000,100,100000,34,1,248.511620,0.235815,3.399764,0.103023
e0,10000,100,100000,33,1,247.323952,0.197310,2.819720,0.088116
e0,10000,100,100000,32,1,246.298702,0.192579,2.524859,0.081447
e0,10000,100,100000,31,1,245.396791,0.257753,4.312994,0.143766
e0,10000,100,100000,30,1,243.790677,0.205498,2.548985,0.087896
e0,10000,100,100000,29,1,242.984298,0.221033,3.097788,0.110635
e0,10000,100,100000,28,1,241.847954,0.330347,5.914376,0.219051
e0,10000,100,100000,27,1,240.699257,0.218056,2.431714,0.093527
e0,10000,100,100000,26,1,239.981606,0.248032,2.657395,0.106296
e0,10000,100,100000,25,1,238.989133,0.298081,4.376440,0.182352
e0,10000,100,100000,24,1,238.010797,0.312105,4.561269,0.198316
e0,10000,100,100000,23,1,236.847579,0.240841,2.758539,0.125388
e0,10000,100,100000,22,1,235.680307,0.237724,2.681248,0.127678
e0,10000,100,100000,21,1,234.495444,0.219925,2.220762,0.111038
e0,10000,100,100000,20,1,233.206894,0.206146,1.759366,0.092598
e0,10000,100,100000,19,1,232.143447,0.273739,2.986355,0.165909
e0,10000,100,100000,18,1,230.715453,0.417420,5.259647,0.309391
e0,10000,100,100000,17,1,229.260945,0.185970,1.239745,0.077484
e0,10000,100,100000,16,1,229.212100,0.185733,1.155015,0.077001
e0,10000,100,100000,15,1,229.011579,0.200365,1.168162,0.083440
e0,10000,100,100000,14,1,227.723954,0.203853,1.258686,0.096822
e0,10000,100,100000,13,1,227.643369,0.201718,1.112996,0.092750
e0,10000,100,100000,12,1,226.723144,0.214448,1.160804,0.105528
