sgemm_oblas_epyc_optimized_2023-07-01_20-32-25.csv epyc001.orfeo.hpc 2023-07-01_20-32-25
2000,2000,2000,0.031183389,0.031183,513.093686
2500,2500,2500,0.050804547,0.050805,615.102424
3000,3000,3000,0.075948987,0.075949,711.003558
3500,3500,3500,0.109307864,0.109308,784.481526
4000,4000,4000,0.153005359,0.153005,836.572005
4500,4500,4500,0.222531247,0.222531,818.986108
5000,5000,5000,0.277430739,0.277431,901.125812
5500,5500,5500,0.366436338,0.366436,908.070422
6000,6000,6000,0.456968030,0.456968,945.361539
6500,6500,6500,0.568388583,0.568389,966.328347
7000,7000,7000,0.680061883,0.680062,1008.731730
7500,7500,7500,0.819203987,0.819204,1029.963249
8000,8000,8000,0.942882068,0.942882,1086.031896
8500,8500,8500,1.110353837,1.110354,1106.178913
9000,9000,9000,1.283071581,1.283072,1136.335666
9500,9500,9500,1.421339851,1.421340,1206.432085
10000,10000,10000,1.624797776,1.624798,1230.922414
10500,10500,10500,1.841444773,1.841445,1257.300807
11000,11000,11000,2.088341114,2.088341,1274.695969
11500,11500,11500,2.222637092,2.222637,1368.532007
12000,12000,12000,2.465001273,2.465001,1402.027674
12500,12500,12500,2.791173241,2.791173,1399.501092
13000,13000,13000,3.074825714,3.074826,1429.024084
13500,13500,13500,3.262023669,3.262024,1508.496105
14000,14000,14000,3.627732880,3.627733,1512.790545
14500,14500,14500,2.854511826,2.854512,2136.004463
15000,15000,15000,4.120771756,4.120772,1638.042677
15500,15500,15500,4.286462485,4.286462,1737.505000
16000,16000,16000,4.565349024,4.565349,1794.386356
16500,16500,16500,4.880967116,4.880967,1840.670053
17000,17000,17000,5.306926835,5.306927,1851.542391
17500,17500,17500,5.564711524,5.564712,1926.200478
18000,18000,18000,5.993550842,5.993551,1946.091776
18500,18500,18500,4.991971929,4.991972,2536.722998
19000,19000,19000,6.789692718,6.789693,2020.415440
19500,19500,19500,6.951948714,6.951949,2133.178855
20000,20000,20000,7.477405007,7.477405,2139.779775
2000,2000,2000,0.031005315,0.031005,516.040556
2500,2500,2500,0.052850802,0.052851,591.287148
3000,3000,3000,0.075475730,0.075476,715.461778
3500,3500,3500,0.110620283,0.110620,775.174296
4000,4000,4000,0.151701194,0.151701,843.763959
4500,4500,4500,0.221709837,0.221710,822.020360
5000,5000,5000,0.283992326,0.283992,880.305477
5500,5500,5500,0.365858743,0.365859,909.504027
6000,6000,6000,0.463274759,0.463275,932.491986
6500,6500,6500,0.570883605,0.570884,962.105051
7000,7000,7000,0.683355608,0.683356,1003.869716
7500,7500,7500,0.828305411,0.828305,1018.646008
